iter	Passed	Remaining
735	18565	6659
736	18590	6634
737	18612	6607
738	18639	6582
739	18661	6556
740	18686	6531
741	18709	6505
742	18730	6478
743	18755	6453
744	18780	6428
745	18811	6404
746	18835	6379
747	18864	6355
748	18889	6330
749	18912	6304
750	18935	6278
751	18972	6256
752	18998	6231
753	19021	6206
754	19043	6179
755	19071	6155
756	19096	6130
757	19120	6104
758	19144	6078
759	19169	6053
760	19196	6028
761	19219	6002
762	19243	5977
763	19266	5951
764	19290	5925
765	19314	5900
766	19338	5874
767	19361	5848
768	19387	5823
769	19411	5798
770	19436	5772
771	19458	5746
772	19483	5721
773	19506	5695
774	19531	5670
775	19554	5644
776	19579	5619
777	19601	5593
778	19625	5567
779	19646	5541
780	19670	5515
781	19692	5489
782	19715	5463
783	19739	5438
784	19763	5413
785	19787	5387
786	19812	5362
787	19835	5336
788	19859	5310
789	19883	5285
790	19907	5259
791	19932	5234
792	19960	5210
793	19985	5185
794	20009	5159
795	20032	5133
796	20057	5108
797	20080	5083
798	20104	5057
799	20130	5032
800	20161	5008
801	20185	4983
802	20207	4957
803	20231	4932
804	20254	4906
805	20277	4880
806	20298	4854
807	20321	4828
808	20347	4803
809	20373	4778
810	20398	4753
811	20421	4728
812	20443	4702
813	20465	4676
814	20488	4650
815	20511	4625
816	20538	4600
817	20567	4576
818	20592	4550
819	20617	4525
820	20642	4500
821	20664	4474
822	20688	4449
823	20711	4423
824	20733	4398
825	20755	4372
826	20777	4346
827	20802	4321
828	20824	4295
829	20853	4271
830	20881	4246
831	20904	4221
832	20928	4195
833	20953	4170
834	20977	4145
835	21000	4119
836	21022	4093
837	21045	4068
838	21067	4042
839	21091	4017
840	21115	3992
841	21142	3967
842	21167	3942
843	21190	3916
844	21216	3891
845	21243	3867
846	21265	3841
847	21289	3816
848	21316	3791
849	21340	3766
850	21366	3741
851	21388	3715
852	21415	3690
853	21439	3665
854	21462	3639
855	21485	3614
856	21509	3589
857	21532	3563
858	21558	3538
859	21584	3513
860	21613	3489
861	21637	3464
862	21661	3438
863	21692	3414
864	21719	3389
865	21743	3364
866	21765	3338
867	21787	3313
868	21811	3287
869	21835	3262
870	21860	3237
871	21883	3212
872	21908	3187
873	21929	3161
874	21953	3136
875	21977	3110
876	22002	3085
877	22024	3060
878	22048	3035
879	22076	3010
880	22101	2985
881	22125	2960
882	22151	2935
883	22175	2909
884	22200	2884
885	22223	2859
886	22249	2834
887	22273	2809
888	22299	2784
889	22319	2758
890	22343	2733
891	22371	2708
892	22392	2683
893	22416	2657
894	22439	2632
895	22463	2607
896	22489	2582
897	22513	2557
898	22535	2531
899	22558	2506
900	22583	2481
901	22608	2456
902	22632	2431
903	22659	2406
904	22687	2381
905	22711	2356
906	22738	2331
907	22763	2306
908	22787	2281
909	22813	2256
910	22839	2231
911	22868	2206
912	22891	2181
913	22913	2155
914	22938	2130
915	22965	2106
916	22989	2080
917	23015	2055
918	23039	2030
919	23062	2005
920	23084	1980
921	23105	1954
922	23130	1929
923	23157	1904
924	23179	1879
925	23204	1854
926	23232	1829
927	23259	1804
928	23282	1779
929	23311	1754
930	23340	1729
931	23364	1704
932	23390	1679
933	23415	1654
934	23438	1629
935	23462	1604
936	23485	1579
937	23508	1553
938	23531	1528
939	23554	1503
940	23580	1478
941	23605	1453
942	23630	1428
943	23662	1403
